Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees
90,Nike,36397.0,6.0,1933.0,-54.4,22536.0,73100
91,Publix Super Markets,36395.7,4.5,2381.2,3.9,18982.5,202000
92,General Dynamics,36193.0,16.9,3345.0,14.9,45408.0,105600
93,Exelon,35985.0,7.3,2010.0,-46.7,119666.0,33383
94,Plains GP Holdings,34055.0,29.9,334.0,-,26830.0,4900
95,3M,32765.0,3.5,5349.0,10.1,36500.0,93516
96,AbbVie,32753.0,16.1,5687.0,7.1,59352.0,30000
97,CHS,32683.3,2.0,775.9,983.8,16381.2,10495
98,Capital One Financial,32377.0,7.9,6015.0,203.5,372538.0,47600
99,Progressive,31979.0,19.2,2615.3,64.3,46575.0,37346
100,Coca-Cola,31856.0,-10.0,6434.0,415.5,83216.0,62600
101,USAA,31367.8,4.5,2291.9,-5.4,158506.8,33689
102,Hewlett Packard Enterprise,30852.0,6.9,1908.0,454.7,55493.0,60000
103,Abbott Laboratories,30578.0,11.6,2368.0,396.4,67173.0,103000
104,Twenty-First Century Fox,30400.0,6.7,4464.0,51.2,53831.0,22400
105,Micron Technology,30391.0,49.5,14135.0,177.8,43376.0,36000
106,Travelers,30282.0,4.8,2523.0,22.7,104233.0,30400
107,Rite Aid,30215.4,-8.0,943.5,23178.3,8989.3,48410
108,Northrop Grumman,30095.0,16.6,3229.0,60.2,37653.0,85000
109,Arrow Electronics,29676.8,10.7,716.2,78.2,17784.4,20100
110,Philip Morris International,29625.0,3.1,7911.0,31.1,39801.0,77400
111,Northwestern Mutual,29124.0,-0.7,783.0,-23.0,272167.0,5870
112,INTL FCStone,27622.7,-6.1,55.5,767.2,7824.7,1701
113,PBF Energy,27186.1,24.8,128.3,-69.1,8005.4,3266
114,Raytheon,27058.0,6.7,2909.0,43.7,31864.0,67000
115,Kraft Heinz,26259.0,0.1,-10229.0,-193.0,103627.0,39000
116,Mondelez International,25938.0,0.2,3381.0,15.7,62729.0,80000
117,U.S. Bancorp,25775.0,7.4,7096.0,14.1,467374.0,75772
118,Macy's,25739.0,3.6,1108.0,-28.4,19194.0,130000
119,Dollar General,25625.0,9.2,1589.5,3.3,13204.0,135000
120,Nucor,25067.3,23.8,2360.8,79.0,17920.6,26300
121,Starbucks,24719.5,10.4,4518.3,56.6,24156.4,291000
122,DXC Technology,24556.0,222.8,1751.0,-,33921.0,150000
123,Eli Lilly,24555.7,7.4,3232.0,-,43908.4,38680
124,Thermo Fisher Scientific,24358.0,16.4,2938.0,32.0,56232.0,69200
125,US Foods Holding,24175.0,0.1,407.0,-8.4,9186.0,24900
126,Duke Energy,24116.0,4.0,2666.0,-12.8,145392.0,30083
127,Halliburton,23995.0,16.4,1656.0,-,25982.0,60000
128,Cummins,23771.0,16.4,2141.0,114.3,19062.0,62610
129,Amgen,23747.0,3.9,8394.0,324.2,66416.0,21500
130,Paccar,23495.7,20.8,2195.1,31.0,25482.4,28000
131,Southern,23495.0,2.0,2226.0,164.4,116914.0,30286
132,CenturyLink,23443.0,32.8,-1733.0,-224.8,70256.0,45000
133,International Paper,23306.0,0.0,2012.0,-6.2,33576.0,53000
134,Union Pacific,22832.0,7.5,5966.0,-44.3,59147.0,41967
135,Dollar Tree,22823.3,2.6,-1590.8,-192.8,13501.2,119650
136,Penske Automotive Group,22785.1,6.5,471.0,-23.2,10904.5,27000
137,Qualcomm,22732.0,2.0,-4864.0,-297.2,32686.0,35400
138,Bristol-Myers Squibb,22561.0,8.6,4920.0,388.6,34986.0,23300
139,Gilead Sciences,22127.0,-15.2,5455.0,17.9,63675.0,11000
140,Jabil,22095.4,15.9,86.3,-33.1,12045.6,199000
141,ManpowerGroup,21991.2,4.5,556.7,2.1,8519.8,30000
142,Southwest Airlines,21965.0,3.8,2465.0,-29.3,26243.0,58803
143,Aflac,21758.0,0.4,2920.0,-36.6,140406.0,11390
144,Tesla,21461.3,82.5,-976.1,-,29739.6,48817
145,AutoNation,21412.8,-0.6,396.0,-8.9,10665.1,26000
146,CBRE Group,21340.1,50.2,1063.2,53.8,13456.8,90000
147,Lear,21148.5,3.3,1149.8,-12.5,11600.7,169000
148,Whirlpool,21037.0,-1.0,-183.0,-152.3,18347.0,92000
149,McDonald's,21025.2,-7.9,5924.3,14.1,32811.2,210000
150,Broadcom,20848.0,18.1,12259.0,624.5,50124.0,15000
151,Marriott International,20758.0,-9.3,1907.0,39.0,23696.0,176000
152,Western Digital,20647.0,8.1,675.0,70.0,29235.0,71600
153,Visa,20609.0,12.3,10301.0,53.8,69225.0,17000
154,Lennar,20571.6,62.7,1695.8,109.2,28566.2,11626
155,WellCare Health Plans,20414.1,20.0,439.8,17.7,11764.7,12000
156,Kohl's,20229.0,5.9,801.0,-6.8,12469.0,81500
157,AECOM,20155.5,10.7,136.5,-59.8,14681.1,87000
158,Synnex,20053.8,17.6,300.6,-0.2,11480.4,231600
159,PNC Financial Services,19993.0,10.9,5301.0,-0.7,382315.0,51996
160,Danaher,19893.0,8.5,2650.9,6.4,47832.5,71000
161,Hartford Financial Services,19827.0,3.1,1807.0,-,62307.0,18500
162,Altria Group,19627.0,0.7,6963.0,-31.9,55638.0,8300
163,Bank of New York Mellon,19214.0,15.6,4266.0,4.3,362873.0,51300
164,Fluor,19166.6,-1.8,224.8,17.5,8913.6,53349
165,Avnet,19036.9,-16.8,-156.4,-129.8,9596.8,15400
166,Icahn Enterprises,18979.0,-12.7,1507.0,-38.0,23396.0,29034
167,Occidental Petroleum,18934.0,42.6,4131.0,215.1,43854.0,11000
168,Molina Healthcare,18890.0,-5.0,707.0,-,7154.0,11000
169,Genuine Parts,18735.1,14.9,810.5,31.4,12683.0,50000
170,Freeport-McMoRan,18628.0,13.5,2602.0,43.2,42216.0,26800
171,Kimberly-Clark,18486.0,1.2,1410.0,-38.1,14518.0,41000
172,Tenet Healthcare,18313.0,-11.2,111.0,-,22409.0,102795
173,Synchrony Financial,18253.0,9.3,2790.0,44.2,106792.0,16500
174,CarMax,17976.8,8.1,664.1,5.9,17486.3,25110
175,HollyFrontier,17714.7,24.3,1098.0,36.3,10994.6,3622
176,Performance Food Group,17619.9,5.1,198.7,106.3,4000.9,15000
177,Sherwin-Williams,17534.5,17.0,1108.7,-37.4,19134.3,53368
178,Emerson Electric,17408.0,6.8,2203.0,45.1,20390.0,87500
179,NGL Energy Partners,17282.7,32.7,-70.9,-151.7,6151.1,2400
180,XPO Logistics,17279.0,12.3,422.0,24.0,12270.0,100000
181,EOG Resources,17275.4,54.1,3419.0,32.4,33934.5,2800
182,Applied Materials,17253.0,18.7,3313.0,-3.5,17773.0,21000
183,PG&E,16759.0,-2.2,-6851.0,-516.2,76995.0,24000
184,NextEra Energy,16727.0,-2.7,6638.0,23.4,103702.0,14300
185,C.H. Robinson Worldwide,16631.2,11.8,664.5,31.6,4427.4,15262
186,Gap,16580.0,4.6,1003.0,18.3,8049.0,135000
187,Lincoln National,16424.0,15.2,1641.0,-21.1,298147.0,11034
188,DaVita,16368.6,2.1,159.4,-76.0,19110.3,77700
189,Jones Lang LaSalle,16318.4,105.7,484.5,90.6,10025.5,90000
190,WestRock,16285.1,9.6,1906.1,169.1,25360.5,45100
191,CDW,16240.5,6.9,643.0,22.9,7167.7,9019
192,American Electric Power,16195.7,5.0,1923.8,0.6,68802.8,17582
193,Cognizant Technology Solutions,16125.0,8.9,2101.0,39.7,15913.0,281600
194,D.R. Horton,16068.0,14.0,1460.3,40.6,14114.6,8437
195,Becton Dickinson,15983.0,32.2,311.0,-71.7,53904.0,76032
196,Nordstrom,15860.0,2.5,564.0,29.1,7886.0,74000
197,Netflix,15794.3,35.1,1211.2,116.7,25974.4,7100
198,Aramark,15789.6,8.1,567.9,51.9,13720.1,227200
199,Texas Instruments,15784.0,5.5,5580.0,51.5,17137.0,29888
200,General Mills,15740.4,0.8,2131.0,28.6,30624.0,40000
201,Supervalu,15679.0,-2.1,45.0,-93.1,4387.0,23000
202,Colgate-Palmolive,15544.0,0.6,2400.0,18.6,12161.0,34500
203,Goodyear Tire & Rubber,15475.0,0.6,693.0,100.3,16872.0,64000
204,PayPal Holdings,15451.0,18.0,2057.0,14.6,43332.0,21800
205,PPG Industries,15374.0,2.7,1341.0,-15.7,16015.0,47300
206,Omnicom Group,15290.2,0.1,1326.4,21.9,24617.0,70400
207,Celgene,15281.0,17.5,4046.0,37.6,35480.0,8852
208,Jacobs Engineering Group,14984.6,49.5,163.4,-44.4,12645.8,77600
209,Ross Stores,14983.5,6.0,1587.5,16.5,6073.7,88100
210,Marsh & McLennan,14950.0,6.6,1650.0,10.6,21578.0,66000
210,Mastercard,14950.0,19.6,5859.0,49.7,24860.0,14800
212,Land O'Lakes,14936.2,8.7,254.5,-19.0,9124.4,10000
213,Waste Management,14914.0,3.0,1925.0,-1.2,22650.0,43700
214,Illinois Tool Works,14768.0,3.2,2563.0,51.9,14870.0,48000
215,Ecolab,14668.2,6.0,1429.1,-5.3,20074.5,49000
216,Booking Holdings,14527.0,14.6,3998.0,70.8,22687.0,24500
217,CBS,14514.0,-1.3,1960.0,449.0,21859.0,14750
218,Parker-Hannifin,14302.4,18.9,1060.8,7.9,15320.1,57170
219,Principal Financial,14237.2,1.0,1546.5,-33.1,243036.1,16475
220,DTE Energy,14212.0,12.7,1120.0,-1.2,36288.0,10600
221,BlackRock,14198.0,13.7,4305.0,-13.4,159573.0,14900
222,United States Steel,14178.0,15.7,1115.0,188.1,10982.0,29000
223,Community Health Systems,14155.0,-23.4,-788.0,-,15859.0,78500
224,Kinder Morgan,14144.0,3.2,1609.0,779.2,78866.0,11012
225,Qurate Retail,14070.0,35.2,916.0,-62.5,17841.0,27226
226,Loews,14066.0,2.4,636.0,-45.4,78316.0,17900
227,Arconic,14014.0,8.1,642.0,-,18693.0,43000
228,Stanley Black & Decker,13982.4,9.7,605.2,-50.6,19408.0,60767
229,Textron,13972.0,-1.6,1222.0,298.0,14264.0,35000
230,Las Vegas Sands,13729.0,6.6,2413.0,-14.0,22547.0,51500
231,Estee Lauder,13683.0,15.7,1108.0,-11.3,12567.0,46000
232,DISH Network,13621.3,-5.4,1575.1,-24.9,30587.0,16000
233,Stryker,13601.0,9.3,3553.0,248.3,27229.0,36000
234,Kellogg,13547.0,4.8,1336.0,5.3,17780.0,34000
235,Biogen,13452.9,9.6,4430.7,74.5,25288.9,7800
236,Alcoa,13403.0,15.0,227.0,4.6,15938.0,14000
237,Anadarko Petroleum,13382.0,12.4,615.0,-,40376.0,4700
238,Dominion Energy,13366.0,6.2,2447.0,-18.4,77914.0,16100
239,ADP,13325.8,7.6,1620.8,-6.5,37088.7,57000
240,salesforce.com,13282.0,26.7,1110.0,770.7,30737.0,35000
241,L Brands,13236.9,4.8,643.9,-34.5,8090.2,57200
242,Henry Schein,13202.0,5.9,535.9,31.9,8500.5,22600
243,Newell Brands,13033.1,-11.6,-6917.9,-351.7,17716.4,37000
244,Guardian Life Ins. Co. of America,13014.9,4.5,464.9,2.1,74053.0,9556
245,BJ's Wholesale Club,13007.3,2.0,127.3,153.0,3239.3,26383
246,BB&T Corp.,12996.0,6.9,3237.0,35.2,225697.0,35852
